*** Test Cases ***,${number}
Try number: 1,5
Try number: 2,5
Try number: 3,5
Try number: 4,5
Try number: 5,5
Try number: 6,5
Try number: 7,5
Try number: 8,5
Try number: 9,5
Try number: 10,5
Try number: 11,5
Try number: 12,5
Try number: 13,5
Try number: 14,5
Try number: 15,5
Try number: 16,5
Try number: 17,5
Try number: 18,5
Try number: 19,5
Try number: 20,5
Try number: 21,5
Try number: 22,5
Try number: 23,5
Try number: 24,5
Try number: 25,5
Try number: 26,5
Try number: 27,5
Try number: 28,5
Try number: 29,5
Try number: 30,5
Try number: 31,5
Try number: 32,5
Try number: 33,5
Try number: 34,5
Try number: 35,5
Try number: 36,5
Try number: 37,5
Try number: 38,5
Try number: 39,5
Try number: 40,5
Try number: 41,5
Try number: 42,5
Try number: 43,5
Try number: 44,5
Try number: 45,5
Try number: 46,5
Try number: 47,5
Try number: 48,5
Try number: 49,5
Try number: 50,5
Try number: 51,5
Try number: 52,5
Try number: 53,5
Try number: 54,5
Try number: 55,5
Try number: 56,5
Try number: 57,5
Try number: 58,5
Try number: 59,5
Try number: 60,5
Try number: 61,5
Try number: 62,5
Try number: 63,5
Try number: 64,5
Try number: 65,5
Try number: 66,5
Try number: 67,5
Try number: 68,5
Try number: 69,5
Try number: 70,5
Try number: 71,5
Try number: 72,5
Try number: 73,5
Try number: 74,5
Try number: 75,5
Try number: 76,5
Try number: 77,5
Try number: 78,5
Try number: 79,5
Try number: 80,5
Try number: 81,5
Try number: 82,5
Try number: 83,5
Try number: 84,5
Try number: 85,5
Try number: 86,5
Try number: 87,5
Try number: 88,5
Try number: 89,5
Try number: 90,5
Try number: 91,5
Try number: 92,5
Try number: 93,5
Try number: 94,5
Try number: 95,5
Try number: 96,5
Try number: 97,5
Try number: 98,5
Try number: 99,5
Try number: 100,5
